Tempo_unidade_s,Combustivel_usado_unidade_L,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Posicao_do_pedal_do_acelerador_unidade_%,Pressao_do_ar_de_entrada_unidade_kPa,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_do_oleo_do_motor_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.000,0.020,32.485,1253.580,7.569,87.200,nan,77.200,176.000,78.000,560.000,48.000,68.375,334.431,28.000,1576.900,72.206
0.5,0.000,0.020,32.425,1286.820,7.333,88.000,nan,77.200,176.000,78.000,630.000,48.000,68.375,337.956,28.000,1564.040,71.613
0.5,0.000,0.020,32.335,1319.280,7.133,88.100,nan,77.200,174.000,78.000,632.000,49.000,68.375,340.453,28.000,1549.660,70.974
0.5,0.000,0.020,32.200,1354.380,6.957,88.900,nan,77.200,174.000,78.000,628.000,49.000,68.375,340.600,28.000,1537.660,70.382
0.5,0.000,0.020,32.110,1385.900,6.789,89.000,nan,77.200,174.000,78.000,614.000,49.000,68.375,343.097,28.000,1525.760,69.842
0.5,0.000,0.020,32.000,1416.760,6.634,89.050,nan,77.200,174.000,76.000,650.000,49.000,68.375,352.163,28.000,1514.800,69.354
0.5,0.000,0.020,31.940,1443.920,6.484,89.700,nan,77.200,172.000,76.000,580.000,49.000,68.375,352.972,28.000,1505.680,68.924
0.5,0.000,0.020,24.955,1471.400,6.346,74.400,116.225,66.320,172.000,74.000,632.000,49.000,68.375,356.703,28.000,1495.120,68.438
0.5,0.000,0.015,24.270,1491.420,6.284,76.750,118.733,65.160,148.000,50.000,606.000,49.000,68.375,356.531,28.000,1483.040,67.892
0.5,0.000,0.020,22.590,1488.300,6.480,74.350,nan,62.260,146.000,50.000,652.000,49.000,68.375,354.469,28.000,1471.600,67.359
0.5,0.000,0.020,5.925,1461.980,6.645,24.683,29.800,20.180,136.000,38.000,550.000,50.000,68.375,353.781,28.000,1446.640,66.323
0.5,0.000,0.015,0.930,1426.940,7.038,5.400,6.700,8.600,108.000,10.000,610.000,50.000,68.375,345.153,27.000,1417.960,64.912
0.5,0.000,0.020,12.215,1315.880,8.542,56.500,82.380,40.880,108.000,12.000,628.000,50.000,68.375,332.522,27.000,1391.520,63.829
0.5,0.000,0.015,0.130,1137.580,9.802,1.600,3.940,0.120,108.000,10.000,566.000,50.000,68.375,326.206,27.000,1359.620,62.389
0.5,0.000,0.020,0.000,1034.680,10.392,0.000,0.000,0.000,102.000,6.000,626.000,50.000,67.875,321.359,27.000,1325.480,60.770
0.5,0.000,0.015,0.000,925.820,11.428,0.000,0.000,0.000,102.000,4.000,568.000,50.000,67.688,312.547,27.000,1155.900,58.088
0.5,0.000,0.015,0.645,803.340,12.619,7.300,11.300,0.000,100.000,2.000,382.000,50.000,68.688,305.644,28.000,767.280,53.630
0.5,0.000,0.015,1.585,681.080,13.816,16.750,27.540,0.000,96.000,0.000,390.000,50.000,68.688,301.238,28.000,712.940,47.718
0.5,0.000,0.010,1.440,569.420,14.740,15.050,24.440,0.000,94.000,0.000,426.000,50.000,68.688,294.628,28.000,752.460,41.037
0.5,0.000,0.010,1.285,503.320,15.272,13.950,22.220,0.000,94.000,0.000,366.000,50.000,68.688,292.278,28.000,753.960,33.498
0.5,0.000,0.010,1.480,476.560,15.572,15.650,25.180,0.000,94.000,0.000,352.000,50.000,68.688,295.216,28.000,742.480,25.195
0.5,0.000,0.005,1.485,464.200,15.776,15.650,25.180,0.000,94.000,0.000,382.000,51.000,68.688,288.019,28.000,749.940,17.758
0.5,0.000,0.005,1.365,453.120,15.920,14.500,23.320,0.000,94.000,0.000,374.000,51.000,68.375,284.641,28.000,755.080,19.475
0.5,0.000,0.000,1.360,445.440,16.026,14.350,23.200,0.000,94.000,0.000,404.000,51.000,68.375,282.291,28.000,750.640,8.058
0.5,0.000,0.000,1.605,439.820,16.119,16.550,27.020,0.000,94.000,0.000,404.000,51.000,68.375,279.794,28.000,740.540,4.762
0.5,0.000,0.000,1.294,435.750,16.191,13.938,22.075,0.000,94.000,0.000,400.000,nan,nan,277.664,28.000,763.663,0.598
