Tempo_unidade_s,Combustivel_usado_unidade_L,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Posicao_do_pedal_do_acelerador_unidade_%,Pressao_do_ar_de_entrada_unidade_kPa,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_do_oleo_do_motor_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.000,0.000,3.205,nan,nan,36.650,51.040,0.000,92.000,0.000,504.000,51.000,49.781,140.312,38.000,707.420,0.603
0.5,0.000,0.000,3.530,nan,nan,41.300,57.940,0.000,92.000,0.000,486.000,51.000,49.781,141.078,38.000,678.200,0.940
0.5,0.000,0.000,3.875,nan,nan,44.900,62.960,0.000,92.000,0.000,524.000,51.000,49.781,141.188,38.000,684.660,0.410
0.5,0.000,0.000,3.580,nan,nan,40.250,55.800,0.000,92.000,0.000,532.000,51.000,49.781,141.412,38.000,719.560,1.123
0.5,0.000,0.000,3.250,nan,nan,36.900,51.300,0.000,92.000,0.000,530.000,51.000,49.781,143.325,38.000,716.320,0.504
0.5,0.000,0.000,3.065,nan,nan,35.100,49.000,0.000,92.000,0.000,526.000,51.000,49.781,143.438,38.000,710.200,0.752
0.5,0.000,0.005,2.985,nan,nan,34.600,48.280,0.000,92.000,0.000,514.000,51.000,49.875,143.438,38.000,703.780,0.514
0.5,0.000,0.000,3.170,nan,nan,37.000,51.940,0.000,92.000,0.000,516.000,51.000,49.875,143.438,38.000,688.520,0.744
0.5,0.000,0.000,3.140,nan,nan,35.950,50.320,0.000,92.000,0.000,526.000,51.000,49.875,143.438,38.000,704.760,0.510
0.5,0.000,0.000,3.015,nan,nan,34.850,48.580,0.000,92.000,0.000,498.000,51.000,49.875,143.438,38.000,705.380,0.679
0.5,0.000,0.000,3.635,nan,nan,44.900,62.640,0.000,92.000,0.000,482.000,51.000,49.875,143.438,38.000,653.860,1.122
0.5,0.000,0.000,3.495,nan,nan,38.400,51.420,0.000,92.000,0.000,572.000,51.000,49.875,143.875,38.000,780.360,1.274
0.5,0.000,0.000,3.100,nan,nan,34.650,46.620,0.000,92.000,0.000,520.000,51.000,49.875,144.641,38.000,756.720,0.930
0.5,0.000,0.000,2.770,nan,nan,32.100,44.400,0.000,92.000,0.000,526.000,51.000,50.594,144.531,38.000,713.820,0.989
0.5,0.000,0.000,3.645,nan,nan,44.600,62.360,0.000,92.000,0.000,490.000,51.000,50.094,144.422,38.000,649.620,0.967
