Tempo_unidade_s,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_do_oleo_do_motor_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.000,12.700,1159.260,20.970,44.900,22.920,112.000,570.000,42.000,45.188,103.438,24.000,1159.120,5.168
0.5,0.000,9.710,1159.330,20.970,36.300,18.130,111.000,560.000,43.000,45.281,103.984,24.000,1093.880,4.874
0.5,0.005,9.390,1159.700,20.970,40.000,18.890,109.600,552.000,43.000,45.375,104.859,24.000,1003.150,4.504
0.5,0.000,4.980,1159.650,20.970,22.000,10.040,107.200,546.000,43.000,45.375,104.969,24.000,866.950,3.898
0.5,0.000,2.830,1159.880,20.970,20.050,8.660,105.200,530.000,43.000,45.500,104.312,24.000,664.770,3.073
0.5,0.000,4.050,1159.900,20.970,26.700,11.690,103.000,528.000,43.000,45.500,103.656,24.000,639.800,2.163
0.5,0.000,4.510,1159.870,20.970,29.350,12.700,102.000,526.000,43.000,45.594,103.438,24.000,642.310,0.797
0.5,0.000,5.020,1159.970,20.970,32.700,14.130,102.000,532.000,43.000,45.594,103.438,24.000,638.750,0.598
0.5,0.000,10.725,1160.120,20.970,67.150,28.187,102.000,550.000,43.000,45.594,103.438,24.000,747.165,0.120
0.5,0.000,16.210,1160.170,20.970,87.450,36.800,104.400,580.000,43.000,45.688,105.078,24.800,841.440,1.623
0.5,0.005,18.390,1160.390,20.970,98.850,42.900,109.000,546.000,43.000,45.688,107.088,25.000,800.810,4.249
0.5,0.000,27.125,1160.150,20.970,94.900,48.120,112.400,594.000,43.000,45.688,109.672,25.000,1110.270,6.554
0.5,0.000,21.740,1160.370,20.970,50.000,29.110,122.200,596.000,43.000,45.781,113.888,25.000,1300.820,7.924
0.5,0.005,4.455,1160.510,20.970,23.350,10.980,116.200,558.000,43.000,45.781,114.672,25.000,969.150,8.419
0.5,0.000,21.385,1160.450,20.970,89.500,43.090,112.000,564.000,43.000,45.781,114.562,24.300,1004.480,8.873
0.5,0.005,30.870,1160.860,20.970,94.250,52.480,119.000,596.000,43.000,45.781,117.537,24.000,1145.510,10.068
0.5,0.000,30.880,1160.820,20.970,73.000,46.330,130.400,596.000,43.000,45.875,121.197,24.000,1281.070,11.294
0.5,0.005,24.830,1160.820,20.970,57.000,36.130,132.000,596.000,43.000,45.875,123.766,24.000,1370.600,12.138
0.5,0.005,19.390,1160.940,20.970,46.250,28.400,128.400,596.000,43.000,45.875,125.406,24.000,1386.030,12.283
0.5,0.000,17.920,1160.980,20.970,46.400,27.150,123.600,596.000,43.000,45.875,125.737,24.000,1382.890,12.273
0.5,0.005,20.565,1161.040,20.970,53.250,30.840,122.000,596.000,43.000,46.000,126.188,24.000,1391.740,12.323
0.5,0.005,25.030,1161.240,20.970,57.650,35.000,126.200,596.000,43.000,46.094,127.537,24.000,1426.380,12.648
0.5,0.005,16.170,1161.310,20.970,38.850,23.480,126.200,596.000,44.000,46.094,128.438,24.000,1431.979,12.723
0.5,0.000,14.415,1161.560,20.970,39.050,22.070,120.800,596.000,44.000,46.188,128.325,24.000,1413.340,12.573
0.5,0.005,15.258,1161.380,20.970,42.050,23.183,118.200,596.000,44.000,46.188,128.100,24.000,1397.773,12.403
0.5,0.005,15.115,1161.530,20.970,41.800,22.970,118.000,596.000,44.000,46.281,128.438,24.000,1398.578,12.419
0.5,0.000,10.961,1161.760,20.970,32.100,17.340,116.800,596.000,44.000,46.281,127.875,24.000,1369.390,12.213
0.5,0.005,8.565,1161.850,20.970,25.550,13.330,113.800,594.000,44.000,46.375,127.875,23.500,1356.940,12.043
0.5,0.005,9.085,1161.830,20.970,28.100,14.540,112.000,596.000,44.000,46.375,127.650,23.000,1326.160,11.773
0.5,0.000,7.980,1161.770,20.970,24.850,12.730,112.000,594.000,44.000,46.500,126.975,23.000,1296.550,11.533
0.5,0.005,5.990,1161.830,20.970,18.600,9.310,110.200,582.000,44.000,46.500,125.963,23.000,1246.030,11.088
0.5,0.000,4.680,1161.850,20.970,15.000,7.470,110.000,568.000,44.000,46.688,125.406,23.000,1189.260,10.573
0.5,0.005,10.830,1162.010,20.970,35.300,17.510,108.000,564.000,44.000,46.688,124.969,23.000,1222.570,10.048
0.5,0.005,8.490,1162.070,20.970,27.950,13.650,110.800,594.000,44.000,46.781,124.969,23.000,1287.320,9.503
0.5,0.000,25.075,1162.120,20.970,69.550,36.660,112.200,590.000,44.000,46.781,124.422,23.000,1322.880,9.669
0.5,0.005,34.895,1162.120,20.970,79.450,49.690,128.800,588.000,44.000,46.875,127.312,23.000,1361.650,9.943
0.5,0.000,42.565,1162.360,20.970,75.400,54.520,146.400,596.000,44.000,46.875,131.109,23.000,1491.640,10.899
0.5,0.005,46.535,1162.490,20.970,75.350,55.690,164.200,596.000,44.000,47.000,134.659,23.000,1579.508,11.543
0.5,0.005,46.710,1162.490,20.970,73.250,55.727,179.600,596.000,44.000,47.094,137.762,23.700,1585.660,11.623
0.5,0.000,57.480,1162.580,20.970,83.750,66.860,192.200,596.000,44.000,47.094,140.641,24.000,1600.240,11.748
0.5,0.005,59.080,1162.600,20.970,79.300,67.550,207.600,596.000,44.000,47.188,143.872,24.000,1619.250,11.863
0.5,0.005,59.420,1162.780,20.970,77.500,68.740,213.800,596.000,44.000,47.188,146.975,24.300,1602.050,11.773
0.5,0.000,60.050,1162.930,20.970,76.900,69.870,217.400,596.000,45.000,47.375,149.931,25.000,1587.060,11.659
0.5,0.005,57.555,1163.070,20.970,74.050,67.360,218.000,596.000,45.000,47.500,152.944,25.700,1588.560,11.679
