Tempo_unidade_s,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Posicao_do_pedal_do_acelerador_unidade_%,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.010,9.780,nan,nan,59.700,42.000,44.700,17.000,480.000,45.000,25.000,32.000,1313.185,29.533
0.5,0.010,10.655,nan,nan,60.950,42.400,52.520,23.000,480.000,45.000,25.000,32.000,1373.808,30.893
0.5,0.005,12.610,nan,nan,66.450,45.820,52.700,32.000,480.000,45.000,25.000,32.000,1449.225,32.568
0.5,0.010,13.165,nan,nan,63.050,43.060,48.000,38.000,480.000,45.000,25.000,32.000,1520.562,34.203
0.5,0.005,10.005,nan,nan,48.400,33.680,41.640,29.000,480.000,45.000,25.000,32.000,1537.567,34.654
0.5,0.015,9.905,nan,nan,48.200,33.580,41.600,23.000,480.000,45.000,25.000,32.000,1538.902,34.688
0.5,0.010,9.895,nan,nan,47.800,33.060,41.340,22.000,480.000,45.000,25.000,32.000,1534.098,34.588
0.5,0.005,9.670,nan,nan,47.550,33.120,41.600,20.000,480.000,46.000,25.000,32.000,1528.595,34.438
0.5,0.010,10.925,nan,nan,53.800,36.940,44.880,24.000,480.000,46.000,25.000,32.000,1535.582,34.599
0.5,0.015,10.295,nan,nan,50.950,35.000,42.840,24.000,480.000,46.000,25.000,32.000,1536.935,34.633
0.5,0.010,10.390,nan,nan,51.100,35.700,43.200,25.000,480.000,46.000,25.000,32.000,1536.237,34.618
0.5,0.005,10.570,nan,nan,51.000,35.340,43.000,22.000,480.000,46.000,25.000,32.000,1536.202,34.613
0.5,0.010,9.645,nan,nan,44.700,30.400,39.460,22.000,480.000,46.000,25.000,32.000,1531.662,34.569
0.5,0.015,7.095,nan,nan,30.500,20.420,31.300,14.000,480.000,46.000,25.000,32.000,1481.680,33.538
0.5,0.010,0.390,nan,nan,0.000,0.000,0.040,6.000,480.000,46.000,25.000,32.000,1378.205,31.213
0.5,0.005,0.000,nan,nan,0.000,0.000,0.000,2.000,480.000,47.000,25.000,32.000,1264.560,28.644
0.5,0.010,0.370,nan,nan,4.700,3.800,9.460,2.000,480.000,47.000,25.000,32.000,1160.305,26.253
0.5,0.005,5.545,nan,nan,46.250,33.500,36.380,2.000,480.000,47.000,25.000,32.000,1123.567,25.224
0.5,0.010,8.980,nan,nan,61.800,44.020,52.520,10.000,480.000,47.000,25.000,32.000,1155.530,26.003
0.5,0.005,9.415,nan,nan,62.000,44.980,67.140,17.000,480.000,47.000,25.000,32.000,1212.497,27.258
0.5,0.010,9.870,nan,nan,61.750,43.880,74.240,19.000,480.000,47.000,25.000,32.000,1269.683,28.558
